#,Term,Sinhala Term,Tamil Term,Glossary
247,adoptive powers,අපත්‍යීකාරක බලතල; කුලවැද්දුම් බලතල,மகவேற்கும் தத்துவம்,Law
248,adult member,වැඩිහිටි සාමාජිකයා,அகவையடைந்த உறுப்பினர்; வயதுவந்த உறுப்பினர்,Law
249,adult person,වැඩිහිටි තැනැත්තා,அகவையடைந்த ஆள்;  வயதுவந்த ஆள்,Law
250,adulterate,බාල කරනවා,கலப்படஞ் செய்,Law
251,adulterated,බාල කළ,கலப்படஞ் செய்யப்பட்ட,Law
252,adulterated milk,බාල කළ කිරි,கலப்படஞ் செய்யப்பட்ட பால்,Law
253,adulteration,තත්ත්වය බාලකිරීම,கலப்படம்,Law
254,adulterer,අනාචාරියා,சோரன் ;ஒழுக்கங் கெட்டவன் ; பிறர்மனை நயப்பவன் ; விபச்சாரம் செய்பவன் .,Law
255,adulterine,අනාචාරය,சோர,Law
256,adulterine children,අනාචාරයෙන් ලත් දරුවෝ,சோரக் குழந்தைகள்,Law
257,adulterous intercourse,අනාචාර සංවාසය,சோரப் புணர்ச்சி,Law
258,adultery,අනාචාරය,சோரம்,Law
259,advance,වැඩි දියුණු කරනවා;  වර්ධනය කරනවා; ඉදිරියට යනවා,முற்பணம்; அச்சாரம்; முன்னேறல்,Law
260,advancement,වැඩි දියුණුව; ප‍්‍රගතිය,முன்னேற்றம்; மேம்பாடு; விருத்தி,Law
261,advances,අත්තිකාරම්,அவாவுகை,Law
262,adversary,විරුද්ධකරු,விரோதி; எதிரி,Law
263,adverse,හානිකර; ප‍්‍රතිවිරුද්ධ,பாதகமான; எதிரான,Law
264,adverse and uninterrupted possession,ප‍්‍රතිවිරුද්ධ හා අඛණ්ඩ බුත්තිය,பாதகமான இடையறா உடைமை,Law
265,adverse claimant,ප‍්‍රතිවිරුද්ධ හිමිකම්පාන්නා,எதிராக உரிமைகோருநர்,Law
266,adverse comment,ප‍්‍රතිවිරුද්ධ ප‍්‍රකාශය,பாதகமான கருத்து,Law
267,adverse criticism,ප‍්‍රතිවිරුද්ධ විවේචනය,பாதகமான விமர்சனம்,Law
268,adverse evidence,ප‍්‍රතිවිරුද්ධ සාක්ෂි,பாதகமான சான்று,Law
269,adverse inference,ප‍්‍රතිවිරුද්ධ අනුමිතිය,பாதகமான அனுமானம,Law
270,adverse interest,ප‍්‍රතිවිරුද්ධ සම්බන්ධතාව,பாதகமான அக்கறை,Law
271,adverse party,ප‍්‍රතිවිරුද්ධ පාර්ශ්වකරු,எதிர் கட்சிக்காரர்; எதிர் தரப்பினர்/தரப்பு,Law
272,adverse possession,ප‍්‍රතිවිරුද්ධ සන්තකය,பாதகமான உடைமை,Law
273,adverse presumption,ප‍්‍රතිවිරුද්ධ පූර්වනිගමනය,பாதகமான ஊகம்,Law
274,adverse witness,ප‍්‍රතිවිරුද්ධ සාක්ෂිකරු,எதிரான சாட்சி,Law
275,advertising,ප‍්‍රචාරක,விளம்பரம்,Law
276,advertising agent,ප‍්‍රචාරක නියෝජිත,விளம்பர முகவர்,Law
277,advice,උපදෙස්; අනුශාසනය,மதியுரை; அறிவுரை,Law
278,advice and consent,අනුශාසනය හා අනුමැතිය,அறிவுரையும் சம்மதமும்,Law
279,advisable in the intent of justice,යුක්තිය ඉෂ්ට කිරීම සඳහා යෝග්‍ය,நீதியின் பொருட்டு உகந்தது,Law
280,adviser,උපදේශක; අනුශාසක,மதியுரைஞர்; ஆலோசகர்,Law
281,advisory commission,උපදේශක කොමිෂන් සභාව,மதியுரை ஆணைக்குழு,Law
282,advisory committee,උපදේශක කමිටුව,மதியுரைக் குழு; ஆலோசனைக் குழு,Law
283,advocate,අධිනිතිඥ,வழக்குரைஞர்,Law
284,aerodrome,ගගනයාත‍්‍රාංගනය,விமானத்தளம்,Law
285,aeronautical,ගගනයාත‍්‍රික,வான்வழிசார்,Law
286,affairs,කටයුතු,அலுவல்கள்; விவகாரங்கள்,Law
287,affairs of state,රාජ්‍ය කටයුතු,அரசு அலுவல்கள்,Law
288,affect,බලපානවා,பாதிப்பு; தாக்கம்,Law
289,affection or ill-wil fear or favour,භයක් ;පක්ෂභජනයක්; දයාවක් හෝ ද්වේෂයක්,பயமோ தயவோ;  காய்தலோ உவத்தலோ,Law
290,affidavit,දිවුරුම් පත‍්‍රය,சத்தியக் கடதாசி,Law
291,affiliated company,අනුබද්ධ සමාගම,இணைக்கப்பட்ட கம்பெனி,Law
292,affiliation,අනුබද්ධ කිරීම,இணைப்பு,Law
293,affinity,විවාහ නෑකම,மணவழி உறவு,Law
294,affirm,ප‍්‍රතිඥා දෙනවා; ස්ථිර කරනවා,உறுதிப்படுத்து,Law
295,affirmant,ප‍්‍රකාශක,உறுதிப்படுத்துநர்,Law
296,affirmation,සහතික කිරීම; ස්ථිර කිරීම; සහතික ප‍්‍රකාශය,உறுதிமொழி; உறுதியுரை,Law
297,affirmative evidence,අස්ත්‍යර්ථ සාක්ෂිය,உடன்படு; சான்று,Law
298,affirmative judgment,අස්ත්‍යර්ථ නඩු තීන්දුව,உடன்படு தீர்ப்பு,Law
299,affirmative proposition,අස්ත්‍යර්ථ ප‍්‍රකාශය,உடன்பாட்டுக் கூற்று,Law
300,affirmed in appeal,අභියාචනයේදී ස්ථිර කරන ලදී .,மேன்முறையீட்டில் உறுதிப்படுத்தப்பட்டது,Law
